"carbon","car_miles","bonus"
0.23,0.37,0.2
1.02,1.66,0.2
4.46,7.24,0.2
19.85,32.22,0.2
0.23,0.37,0.4
1.02,1.66,0.4
4.46,7.24,0.4
19.85,32.22,0.4
0.23,0.37,0.6
1.02,1.66,0.6
4.46,7.24,0.6
19.85,32.22,0.6
0.23,0.37,0.8
1.02,1.66,0.8
4.46,7.24,0.8
19.85,32.22,0.8
0.23,0.37,1
1.02,1.66,1
4.46,7.24,1
19.85,32.22,1
0.23,0.37,0.2
1.02,1.66,0.2
4.46,7.24,0.2
19.85,32.22,0.2
0.23,0.37,0.4
1.02,1.66,0.4
4.46,7.24,0.4
19.85,32.22,0.4
0.23,0.37,0.6
1.02,1.66,0.6
4.46,7.24,0.6
19.85,32.22,0.6
0.23,0.37,0.8
1.02,1.66,0.8
4.46,7.24,0.8
19.85,32.22,0.8
0.23,0.37,1
1.02,1.66,1
4.46,7.24,1
19.85,32.22,1
